tissueType	cellName	geneSymbolmore1	geneSymbolmore2	shortName
Immune system	Gamma delta T cell	"ACP5,AQP9,BTN3A2,C1orf54,CARD8,CCL18,CD209,CD33,CD36,CDK5,IL10RB,KLRF1,LGALS1,MAPK7,KLHL7,KRT80,LAMC1,LCORL,LMNB1,MEIS3P1,MPL,FABP1,FABP5,FADD,MFAP3L,MINPP1,RPS24,RPS7,RPS9,DBNL,CCL13"		
Immune system	Activated dendritic cell	"ABCD1,C1QC,CAPG,CCL3L3,CD207,CD302,ATP5B,ATP5L,ATP6V1A,BCL2L1,C1QB,SNURF,SPCS3,CCNA1,CEACAM8,NOS2,SRA1,TNFRSF6B,TREM1,TREML1,RHOA,SLC25A37,TNFSF14,TREML4,VNN2,XPO6,CLEC4C,TNFAIP2,UBD,ACTR3,RAB1A,SLA,HLA-DQA2,SIGLEC5,SLAMF9"		
Immune system	CD56bright natural killer cell	"ABAT,C11orf75,C5orf15,CDHR1,DCAF12,DYNLL1,GPR137B,HCP5,HDGFRP2,KRT86,MLST8,ELMOD3,ENTPD5,FAM119A,FAM179A,CLIC2,COX7A2L,CREB3L4,CSF1,CSNK2A2,CSTA,CSTB,CTPS,CTSD,FST,GATA2,GMPR,HDC,HEY1,HOXA1,HS2ST1,HS3ST1,BCL11B,CDH3,MYL6B,NAA16,ClQA,ClQB,CYP27B1,EIF3M"		
Immune system	CD56dim natural killer cell	"CYP27A1,DDX55,DYRK2,RPL37A,NOTCH3,AKR7A3,GPRC5C,GRIN1,HLA-E,PORCN,PSMC4,UPP1,IL21R,KIR2DS1,KIR2DS2,KIR2DS5"		
Immune system	Immature dendritic cell	"ACADM,AHCYL1,ALDH1A2,ALDH3A2,ALDH9A1,ALOX15,AMT,ARL1,ATIC,ATP5A1,CAPZA1,LILRA5,RDX,RRAGD,TACSTD2,INPP5F,RAB38,PLAU,CSF3R,SLC18A2,AMPD2,CLTB,C1orf162"		
Immune system	MDSC	"CCR2,CD14,CD2,CD86,CXCR4,FCGR2A,FCGR2B,FCGR3A,FERMT3,GPSM3,IL18BP,IL4R,ITGAL,ITGAM,PARVG,PSAP,PTGER2,PTGES2,S100A8,S100A9"		
Immune system	Monocyte	"ASGR2,CFP,ASGR1,CD1D,UPK3A,ACTG1,ANXA5,ATP6V1B2,CFL1,DAZAP2,CTBS,EMR4P,HIVEP2,MARCKSL1,MBP,MMP15,PNPLA6,TMBIM6,PQBP1,TEX264,IKZF1"		
Immune system	Plasmacytoid dendritic cell	"CBX6,DAB2,DDX17,HIGD1A,IDH3A,IL3RA,MAGED1,NUCB2,OFD1,OGT,PDIA4,SERTAD2,SIRPA,TMED2,ENG,FCAR,IGF1,ITGA2B,GABARAP,GPX1,KRT23,PROK2,RALB,RETNLB,RNF141,SEC14L1,SEPX1,EMP3,CD300LF,ABTB1,KLHL21,PHRF1"		
Immune system	Central memory CD8 T cell	"GPR183,CCR7,SELL,IL7R,CD27,CD28,GZMA,CCL5,S1PR1,GZMA,CCL5,S1PR1"		
Immune system	Temra CD8 T cell	"CX3CR1,KLRG1,FCGR3A,FGFBP2,PRF1,GZMH,TBX21,EOMES,S1PR1,S1PR5"		
Immune system	cytotoxic CD8 T cell	"NKG7,CCL4,CST7,GZMA,,GZMB,IFNG,CCL3"		
Immune system	Tissue Resident Memory T cell (Trm)	"CD6,CXCL1,XCL2,MYADM,CAPG,RORA,NR4A1,NR4A2,NR4A3,CD69,ITGAE"		
Immune system	M1 macrophage	"FCGR3A,TSPO,CD68,HLA-DR,CXCL10,ROS"		
Immune system	M2 macrophage	"CCL18,CD206,CD14,HLA-DR,ARG1,CCL2,CD163,MRC1,RETNLB,IL10,MRC1"		
Immune system	Activated CD4 T cell	"CD3D,CD3E,CD3G,CD4,AIM2,BIRC3,BRIP1,CCL20,CCL4,CCL5,CCNB1,CCR7,DUSP2,ESCO2,ETS1,EXO1,EXOC6,IARS,ITK,KIF11,KNTC1,NUF2,PRC1,PSAT1,RGS1,RTKN2,SAMSN1,SELL,TRAT1"		
Immune system	Activated CD8 T cell	"ADRM1,AHSA1,C1GALT1C1,CCT6B,CD37,CD3D,CD3E,CD3G,CD69,CD8A,CETN3,CSE1L,GEMIN6,GNLY,GPT2,GZMA,GZMH,GZMK,IL2RB,LCK,MPZL1,NKG7,PIK3IP1,PTRH2,TIMM13,ZAP70"		
Immune system	Regulatory T cell	"Il2ra,Cd4,Foxp3,CD3D,CD3E,CD3G,CD4,CCL3L1,CD72,CLEC5A,FOXP3,ITGA4,L1CAM,LIPA,LRP1,LRRC42,MARCO,MMP12,MNDA,MRC1,MS4A6A,PELO,PLEK,PRSS23,PTGIR,ST8SIA4,STAB1"		
Immune system	T follicular helper cell	"CD3D,CD3E,CD3G,CD4,B3GAT1,CDK5R1,PDCD1,BCL6,CD200,CD83,CD84,FGF2,GPR18,CEBPA,CECR1,CLEC10A,CLEC4A,CSF1R,CTSS,DMN,DPP4,LRRC32,MC5R,MICA,NCAM1,NCR2,NRP1,PDCD1LG2,PDCD6,PRDX1,RAE1,RAET1E,SIGLEC7,SIGLEC9,TYRO3,CHST12,CLIC3,IVNS1ABP,KIR2DL2,LGMN"		
Immune system	Type 1 T helper cell	"CD3D,CD3E,CD3G,CD4,CD70,TBX21,ADAM8,AHCYL2,ALCAM,B3GALNT1,BBS12,BST1,CD151,CD47,CD48,CD52,CD53,CD59,CD6,CD68,CD7,CD96,CFHR3,CHRM3,CLEC7A,COL23A1,COL4A4,COL5A3,CD3,CD4,DAB1,DLEU7,DOC2B,EMP1,F12,FURIN,GAB3,GATM,GFPT2,GPR25,GREM2,HAVCR1,HSD11B1,HUNK,IGF2,RCSD1,RYR1,SAV1,SELE,SELP,SH3KBP1,SIT1,SLC35B3,SIGLEC10,CD3,CD4,SKAP1,THUMPD2,TIGIT,ZEB2,ENC1,FAM134B,FBXO30,FCGR2C,STAC,LTC4S,MAN1B1,MDH1,MMD,RGS16,IL12A,P2RX5,CD97,ITGB4,ICAM3,METRNL,TNFRSF1A,IRF1,HTR2B,CALD1,MOCOS,TRAF3IP2,TLR8,TRAF1,DUSP14"		
Immune system	Type 17 T helper cell	"CD3D,CD3E,CD3G,CD4,IL17A,IL17RA,C2CD4A,C2CD4B,CA2,CCDC65,CEACAM3,IL17C,IL17F,IL17RC,IL17RE,IL23A,ILDR1,LONRF3,SH2D6,TNIP2,ABCA1,ABCB1,ADAMTS12,ANK1,ANKRD22,B3GALT2,CAMTA1,CCR9,CD40,GPR44,IFT80"		
Immune system	Type 2 T helper cell	"CD3D,CD3E,CD3G,CD4,ASB2,CSRP2,DAPK1,DLC1,DNAJC12,DUSP6,GNAI1,LAMP3,NRP2,OSBPL1A,PDE4B,PHLDA1,PLA2G4A,RAB27B,RBMS3,RNF125,TMPRSS3,GATA3,BIRC5,CDC25C,CDC7,CENPF,CXCR6,DHFR,EVI5,GSTA4,HELLS,IL26,LAIR2"		
Immune system	exhausted CD8 T cell	"CD3D,CD3E,CD3G,CD8,LAYN,CXCL13,HAVCR2,PDCD1,TOX,IFNG,GZMB,MIR155HG,TNFRSF9,ITGAE"		
